activation,best_params,accuracy,roc_auc,best_score,n_iterations,selected_features
relu,"{'classifier__learning_rate_init': 0.001, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (100,), 'classifier__batch_size': 'auto', 'classifier__alpha': 0.01}",0.9134897360703812,0.8869834710743801,0.3668743931901827,25,"[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, True, False, False, False, True, True, False, False, False, False]"
tanh,"{'classifier__learning_rate_init': 0.001, 'classifier__learning_rate': 'constant', 'classifier__hidden_layer_sizes': (50,), 'classifier__batch_size': 'auto', 'classifier__alpha': 0.001}",0.9120234604105572,0.9306818181818182,0.345507610317713,25,"[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, True, False, False, False, True, True, False, False, False, False]"
