regularization,accuracy,roc_auc
L2_0.001,0.966275659824047,0.8897210743801653
L2_0.01,0.967741935483871,0.8890668044077135
Dropout_0.1,0.966275659824047,0.8713326446280991
Dropout_0.2,0.969208211143695,0.8972279614325069
None,0.9655425219941349,0.8949207988980716
